ClienteID,RazonSocial,NombreContacto,ApellidoContacto,CategoriaCliente,CUIT,Telefono,Email
1,"Gomez, Lopez and Sosa and Sons",Jazmin,Castro,Mediano,30-85329037-3,+54 9 3581 9650,bautista-benjamin76@hotmail.com
2,Mansilla PLC Inc,Victoria,Rojas,Pequeño,34-39587039-7,+54 9 3501 2315,correajuan-ignacio@hotmail.com
3,"Gonzalez, Gimenez and Suarez Inc",Martina,Benitez,Pequeño,33-10872248-2,+54 15 2478 2901,guadalupemunoz@yahoo.com
4,"Romero, Cabrera and Nuñez Inc",Felipe,Gutierrez,Pequeño,34-55667651-4,+54 9 3933 0425,milagros39@hotmail.com
5,Fernandez-Gonzalez Ltd,Agustin,Gonzalez,Pequeño,31-38898923-5,+54 9 3101 6091,benjaminluna@hotmail.com
6,Fernandez-Gomez Inc,Thiago Ezequiel,Caceres,Pequeño,30-22448136-6,+54 9 3851 7058,emilia05@hotmail.com
7,"Diaz, Sanchez and Villalba and Sons",Santiago Nicolas,Ojeda,Pequeño,30-58181396-5,+54 9 3120 9956,tiziano-benjaminfigueroa@hotmail.com
8,Vargas Group PLC,Alvaro,Rivero,Pequeño,33-15831819-7,+54 15 2319 4915,carmelaacosta@hotmail.com
9,Correa-Acosta PLC,Simon,Valdez,Mediano,30-60806024-1,+54 9 3432 5592,oliviaavila@hotmail.com
10,Rivero-Acosta Ltd,Valentina ,Gonzalez,Pequeño,33-94374605-9,+54 15 2848 1830,lopezfrancisco@hotmail.com
11,Rodriguez-Rodriguez PLC,Delfina,Peralta,Pequeño,33-87490893-3,+54 15 2561 2921,fernandezantonella@gmail.com
12,Diaz-Dominguez Group,Tomas Benjamin,Gomez,Pequeño,30-16150444-3,+54 15 2671 6571,santinobenitez@yahoo.com
13,Paz Ltd Inc,Maria Paz,Bravo,Pequeño,33-20709497-3,+54 9 3214 3604,carrizojulieta@hotmail.com
14,Castro PLC Ltd,Santino,Ojeda,Mediano,30-61019678-4,+54 9 3320 4051,renatagarcia@yahoo.com
15,Rojas Ltd Inc,Juan Ignacio,Garcia,Pequeño,34-95320121-5,+54 15 2659 6034,amoreno@gmail.com
16,"Gomez, Rios and Sanchez LLC",Lourdes,Castro,Pequeño,31-59684848-5,+54 9 3484 5340,zmunoz@yahoo.com
